Artifact.Name,Artifact.Target.StateID,Agent.Name,Artifact.Target.FileSize,Artifact.Target.LOC,Artifact.Target.AggregateFragmentCount,Artifact.Target.FragmentCount,Artifact.Target.VarianceLinesPre,Artifact.Target.VarianceLinesPost,Artifact.Target.VarianceLinesMerged,Artifact.Target.VarianceFragments,Artifact.Target.TagsCount,Artifact.Target.CausesCount,Artifact.Target.FixesCount,Activity.HunkCount,Activity.LinesAdded,Activity.LinesRemoved,Artifact.Source.StateID,Artifact.Source.FileSize,Artifact.Source.LOC,Artifact.Source.AggregateFragmentCount,Artifact.Source.FragmentCount,Artifact.Source.VarianceLinesPre,Artifact.Source.VarianceLinesPost,Artifact.Source.VarianceLinesMerged,Artifact.Source.VarianceFragments,Artifact.Source.TagsCount,Artifact.Source.CausesCount,Artifact.Source.FixesCount,CONFIDENCE.Artifact.Target.BugFix.AverageWeight,LABEL.Artifact.Target.BugFix.AverageWeight,CONFIDENCE.Artifact.Target.Fix.AverageWeight,LABEL.Artifact.Target.Fix.AverageWeight
"Sample.java",2,"Philip Makedonski",208.0,11.0,0.0,3.0,0.0,0.5,0.5,1.0,0,1.0,0.0,1.0,2.0,0.0,1,131.0,9.0,0.0,1.0,0.0,7.5,7.5,0.0,0,2.0,0.0,high,true,high,true
"Sample.java",4,"Philip Makedonski",301.0,17.0,0.0,3.0,0.0,0.5,0.0,1.0,0,1.0,1.0,1.0,2.0,1.0,3,270.0,16.0,0.0,2.0,0.0,2.5,2.5,0.5,0,1.0,0.0,high,true,high,true
"Sample.java",5,"Philip Makedonski",420.0,22.0,0.0,3.0,0.0,2.5,2.5,1.0,0,1.0,0.0,1.0,5.0,0.0,4,301.0,17.0,0.0,3.0,0.0,0.5,0.0,1.0,0,1.0,1.0,high,true,high,true
"Sample.java",7,"Philip Makedonski",734.0,37.0,0.0,7.0,36.8,36.8,36.8,4.666666666666667,0,0.0,4.0,3.0,6.0,6.0,6,728.0,37.0,0.0,3.0,0.0,20.0,20.0,1.0,0,2.0,0.0,high,false,high,false
"Sample.java",8,"Philip Makedonski",741.0,37.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0.0,1.0,1.0,1.0,1.0,7,734.0,37.0,0.0,7.0,36.8,36.8,36.8,4.666666666666667,0,0.0,4.0,high,false,high,false
"Sample.java",9,"Philip Makedonski",784.0,38.0,0.0,3.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,1.0,0.0,8,741.0,37.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0.0,1.0,high,true,high,true
"Sample.java",10,"Philip Makedonski",785.0,38.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0.0,1.0,1.0,1.0,1.0,9,784.0,38.0,0.0,3.0,0.0,0.0,0.0,1.0,0,1.0,0.0,high,false,high,false
"Sample.java",6,"John Simmons",728.0,37.0,0.0,3.0,0.0,20.0,20.0,1.0,0,2.0,0.0,1.0,15.0,0.0,5,420.0,22.0,0.0,3.0,0.0,2.5,2.5,1.0,0,1.0,0.0,high,true,high,true
"App.java",12,"John Simmons",306.0,15.0,0.0,3.0,0.0,9.166666666666666,9.166666666666666,1.0,0,0.0,0.0,1.0,10.0,0.0,11,46.0,5.0,0.0,1.0,0.0,2.5,2.5,0.0,0,0.0,0.0,high,false,high,false
"Sample.java",12,"John Simmons",701.0,33.0,0.0,3.0,3.5,0.0,3.5,1.0,0,0.0,2.0,1.0,1.0,6.0,10,785.0,38.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0.0,1.0,high,false,high,false
"Sample.java",3,"James Fix",270.0,16.0,0.0,2.0,0.0,2.5,2.5,0.5,0,1.0,0.0,1.0,5.0,0.0,2,208.0,11.0,0.0,3.0,0.0,0.5,0.5,1.0,0,1.0,0.0,high,true,high,true
